,AID,CID,Activity Outcome,Protein Accession,SMILES
2194303,1671197,45073437.0,Active,AAV41877,C1=CC(=C(C=C1Cl)Cl)/C(=C/N2C=NC=N2)/Cl.Cl
2194305,1671197,16683072.0,Active,AAV41877,CCCC[Sn](CCCC)(CCCC)OC(=O)C=C
2194309,1671197,44373822.0,Inactive,AAV41877,CCCCCCCCCCCCCCC(CO)NC(=O)CCCCCCCCCCCCCC
2194311,1671197,135491830.0,Active,AAV41877,CCC/C(=N\OCC)/C1=C(CC(CC1=O)CC(C)SCC)O
2194313,1671197,57358267.0,Inactive,AAV41877,CC(C)N.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
2194315,1671197,54708862.0,Inactive,AAV41877,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].O.O.O.O.[Mg+2]
2194317,1671197,16051941.0,Inactive,AAV41877,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O
2194319,1671197,22419268.0,Active,AAV41877,CCC1=C(C(=C(C=C1C)N)CC)N
2194321,1671197,9862076.0,Active,AAV41877,CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl
2194325,1671197,86287518.0,Inactive,AAV41877,C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl
2194329,1671197,54679224.0,Inactive,AAV41877,C1=C(C(=CNC1=O)Cl)O
2194333,1671197,86287525.0,Active,AAV41877,CC1=C2C(=NN1)NC3=C(C=C(C=C3)[N+](=O)[O-])C(=N2)C4=CC=CC=C4Cl
2194335,1671197,24809526.0,Active,AAV41877,C1CC(CCC1NC2=NC=NC3=C2C=NN3)OC[C@@H](C4=CC=CC=C4F)F
2194337,1671197,19876500.0,Inactive,AAV41877,CCCC[N+]1=CC=CC(=C1)C.[Cl-]
2194339,1671197,16719897.0,Inactive,AAV41877,CCC[N+]1(CCCC1)C.[Br-]
2194341,1671197,135430996.0,Active,AAV41877,CCCOC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC2)CC)C3=NC4=C(N(N=C4C(=O)N3)CC5=CC=CC=N5)CC
2194343,1671197,54685047.0,Inactive,AAV41877,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl
2194345,1671197,16700308.0,Inactive,AAV41877,C(=O)O[Al](OC=O)OC=O
2194347,1671197,54670067.0,Inactive,AAV41877,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
2194349,1671197,16051942.0,Inactive,AAV41877,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@@]1(C)C(=O)OC)C)O)C
2194351,1671197,60196388.0,Inactive,AAV41877,[B-](F)(F)(F)F.CCC[N+]1(CCCCC1)C
2194353,1671197,135659063.0,Inactive,AAV41877,CN\1CC(=O)N/C1=N/C(=O)NC2=CC(=CC=C2)Cl
2194355,1671197,138394832.0,Active,AAV41877,CN(C)C(=O)C1(CCN(CC1)CC[C@]2(CN(CCO2)C(=O)C3=CC=CC=C3)C4=CC(=C(C=C4)Cl)Cl)N5CCCCC5.Cl
2194357,1671197,16051918.0,Inactive,AAV41877,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC.Cl.[Cl-]
2194359,1671197,444030.0,Inactive,AAV41877,C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br
2194361,1671197,54676228.0,Inactive,AAV41877,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3
2194363,1671197,45006154.0,Active,AAV41877,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.Cl.Cl.Cl
2194365,1671197,53257735.0,Active,AAV41877,CC1=NC2=CC=CC=C2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6=CC(=C(C=C6Cl)F)S(=O)(=O)NC)C7=CC(=CC=C7)F
2194367,1671197,46780884.0,Inactive,AAV41877,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC.CO
2194369,1671197,54675810.0,Inactive,AAV41877,C([C@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
2194371,1671197,18173271.0,Inactive,AAV41877,CC1=NC(=NO1)C2=CC3=C(CCN(CC3)CCC4CCC(CC4)NC(=O)/C=C/C5=CC=C(C=C5)F)C=C2.Cl
2194373,1671197,12598086.0,Inactive,AAV41877,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.O.O
2194379,1671197,2723694.0,Inactive,AAV41877,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCCl
2194381,1671197,60196377.0,Inactive,AAV41877,CCCN1CN(C=C1)C.Br
2194387,1671197,135511839.0,Inactive,AAV41877,COC(=O)N/N=C/C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]
2194389,1671197,443866.0,Inactive,AAV41877,CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+]
2194391,1671197,136122621.0,Active,AAV41877,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)\C
2194393,1671197,60196407.0,Active,AAV41877,CCOC(=O)O[C@H](C)OC(=O)C1=CC2=C(C=C1)N(C(=C2)C(=O)NC3CCN(CC3)C(C)C)CC4=NOC(=C4)C5=CC=C(S5)Cl.Cl
2194395,1671197,16088242.0,Inactive,AAV41877,C[C@@H]1C[C@@H]2[C@H](O[C@]3([C@H]1[C@]4(CC[C@@]56C[C@@]57CC[C@@H](C([C@@H]7CC[C@H]6[C@@]4([C@H]3O)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)C)O2)C(C)(C)O
2194397,1671197,25015677.0,Active,AAV41877,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC
2194399,1671197,20725980.0,Inactive,AAV41877,CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)C)OC(=O)C
2194401,1671197,54685524.0,Inactive,AAV41877,CCOC(=O)C(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O
2194403,1671197,12626562.0,Inactive,AAV41877,CC(CC1=CC(=C(C=C1OC)Br)OC)N.Cl
2194405,1671197,54677470.0,Inactive,AAV41877,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O
2194407,1671197,16682828.0,Active,AAV41877,CCCC[Sn](CCCC)(CCCC)OC(=O)C(=C)C
2194409,1671197,135436526.0,Inactive,AAV41877,CN(C(=N)N[N+](=O)[O-])N=O
2194411,1671197,2723650.0,Active,AAV41877,C1CNC(=S)N1
2194415,1671197,135565635.0,Active,AAV41877,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N
2194417,1671197,24798733.0,Inactive,AAV41877,C1=CC=C(C(=C1)C(=O)O)N2C=C(C(=O)C3=CC(=C(C=C32)Cl)NC4=C(C=C(C=C4Cl)F)F)C(=O)O
2194419,1671197,54680782.0,Inactive,AAV41877,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl
2194421,1671197,460612.0,Active,AAV41877,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl
2194425,1671197,60196418.0,Active,AAV41877,CCCCOC(CC)OC(C)COC(CC)O
2194427,1671197,16129778.0,Inactive,AAV41877,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
2194429,1671197,22833307.0,Inactive,AAV41877,C/C=C/C/C=C/C/C=C/CC=C
2194431,1671197,24180686.0,Inactive,AAV41877,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)O.C(CO)N(CCO)CCO
2194433,1671197,54678486.0,Active,AAV41877,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
2194435,1671197,57433782.0,Inactive,AAV41877,O.O.O.O.O.O.Cl[Eu](Cl)Cl
2194437,1671197,135442941.0,Active,AAV41877,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+]
2194439,1671197,9888276.0,Active,AAV41877,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)[O-])O
